trial_id,query_track_id,a_title,a_artist,b_title,b_artist,question,choice,note,rated_by
115700:H4,115700,Sheep,Scott Sherk,First Movement,Z'EV,Which clip sounds MORE like the query overall?,,,
115700:H5,115700,First Movement,Z'EV,Brilliant Brightness,Dolorvotre,Which clip sounds MORE like the query overall?,,,
115700:H6,115700,Chion's Cricket,Jim Lee,Brilliant Brightness,Dolorvotre,Which clip sounds MORE like the query overall?,,,
115700:H7,115700,Chion's Cricket,Jim Lee,Freeway,Dave Nelson,Which clip sounds MORE like the query overall?,,,
120770:H1,120770,E.M.F.H.,Raw Stiles,Gloom,SPCZ,Which clip sounds MORE like the query overall?,,,
120770:H2,120770,Gloom,SPCZ,Noodie,Shy Kids,Which clip sounds MORE like the query overall?,,,
120770:H3,120770,Gloom,SPCZ,Speleology,Resonancedj & Giulio Maddaloni,Which clip sounds MORE like the query overall?,,,
120770:H4,120770,E.M.F.H.,Raw Stiles,Noodie,Shy Kids,Which clip sounds MORE like the query overall?,,,
120770:H5,120770,Speleology,Resonancedj & Giulio Maddaloni,E.M.F.H.,Raw Stiles,Which clip sounds MORE like the query overall?,,,
120770:H6,120770,Noodie,Shy Kids,Speleology,Resonancedj & Giulio Maddaloni,Which clip sounds MORE like the query overall?,,,
120770:H7,120770,Moving Toward You,Str8 Sounds,RUDA,How I Quit Crack,Which clip sounds MORE like the query overall?,,,
120770:H8,120770,E.M.F.H.,Raw Stiles,Moving Toward You,Str8 Sounds,Which clip sounds MORE like the query overall?,,,
124913:H1,124913,The Squelch,Phish Funk,Ghost By Nature - Soul Inspector,Krowne,Which clip sounds MORE like the query overall?,,,
124913:H2,124913,Ghost By Nature - Soul Inspector,Krowne,Come to Me,Rony Friedman,Which clip sounds MORE like the query overall?,,,
124913:H3,124913,Happy Jambo,Angel Garcia,Ghost By Nature - Soul Inspector,Krowne,Which clip sounds MORE like the query overall?,,,
124913:H4,124913,Come to Me,Rony Friedman,The Squelch,Phish Funk,Which clip sounds MORE like the query overall?,,,
124913:H5,124913,Happy Jambo,Angel Garcia,The Squelch,Phish Funk,Which clip sounds MORE like the query overall?,,,
124913:H6,124913,Happy Jambo,Angel Garcia,Come to Me,Rony Friedman,Which clip sounds MORE like the query overall?,,,
124913:H7,124913,Happy Jambo,Angel Garcia,Extra Pay,No Lala,Which clip sounds MORE like the query overall?,,,
124913:H8,124913,Skatter,Ghost By Nature,Extra Pay,No Lala,Which clip sounds MORE like the query overall?,,,
125193:H1,125193,We Keep The Same Hours,Sleep Out,Loose Fur,Derek Clegg,Which clip sounds MORE like the query overall?,,,
125193:H2,125193,Quique,Cordero,Loose Fur,Derek Clegg,Which clip sounds MORE like the query overall?,,,
125193:H3,125193,Loose Fur,Derek Clegg,I'd Rather Take the Old Way,Derek Clegg,Which clip sounds MORE like the query overall?,,,
125193:H4,125193,We Keep The Same Hours,Sleep Out,Quique,Cordero,Which clip sounds MORE like the query overall?,,,
125193:H5,125193,We Keep The Same Hours,Sleep Out,I'd Rather Take the Old Way,Derek Clegg,Which clip sounds MORE like the query overall?,,,
125193:H6,125193,Quique,Cordero,I'd Rather Take the Old Way,Derek Clegg,Which clip sounds MORE like the query overall?,,,
125193:H7,125193,I'd Rather Take the Old Way,Derek Clegg,The Best In The World,Derek Clegg,Which clip sounds MORE like the query overall?,,,
125193:H8,125193,The Best In The World,Derek Clegg,Bullets,Sea Offs,Which clip sounds MORE like the query overall?,,,
125814:H1,125814,Nuthatch,Blue Dot Sessions,Insatiable Toad,Blue Dot Sessions,Which clip sounds MORE like the query overall?,,,
125814:H2,125814,Tossed,Blue Dot Sessions,Insatiable Toad,Blue Dot Sessions,Which clip sounds MORE like the query overall?,,,
125814:H3,125814,Insatiable Toad,Blue Dot Sessions,Marble Chase,Blue Dot Sessions,Which clip sounds MORE like the query overall?,,,
125814:H4,125814,Tossed,Blue Dot Sessions,Nuthatch,Blue Dot Sessions,Which clip sounds MORE like the query overall?,,,
125814:H5,125814,Marble Chase,Blue Dot Sessions,Nuthatch,Blue Dot Sessions,Which clip sounds MORE like the query overall?,,,
125814:H6,125814,Marble Chase,Blue Dot Sessions,Tossed,Blue Dot Sessions,Which clip sounds MORE like the query overall?,,,
125814:H7,125814,Grand Caravan,Blue Dot Sessions,Αρχαία Μουσική Για Σύγχρονη Φορές (Ancient Music For Modern Times),Jared C. Balogh,Which clip sounds MORE like the query overall?,,,
125814:H8,125814,Αρχαία Μουσική Για Σύγχρονη Φορές (Ancient Music For Modern Times),Jared C. Balogh,Nuthatch,Blue Dot Sessions,Which clip sounds MORE like the query overall?,,,
127359:H1,127359,Should I,Trevor Flowers and Iheka-Chama,Push Button Generation,Colin Ska Johnson,Which clip sounds MORE like the query overall?,,,
127359:H2,127359,I Apologize (Medley),Teddy Brown,It Could Be You,Lorenzo's Music,Which clip sounds MORE like the query overall?,,,
127359:H3,127359,It Could Be You,Lorenzo's Music,Push Button Generation,Colin Ska Johnson,Which clip sounds MORE like the query overall?,,,
127359:H4,127359,Sunshine Radio,Jupiter Makes Me Scream,Push Button Generation,Colin Ska Johnson,Which clip sounds MORE like the query overall?,,,
131410:H1,131410,Bullets Have No Effect,Pilesar,Dear Giulietta,Kraus,Which clip sounds MORE like the query overall?,,,
131410:H2,131410,Bullets Have No Effect,Pilesar,Now You Are Here,Sergey Cheremisinov,Which clip sounds MORE like the query overall?,,,
131410:H3,131410,Circle Moon,Fursaxa,Bullets Have No Effect,Pilesar,Which clip sounds MORE like the query overall?,,,
131410:H4,131410,Dear Giulietta,Kraus,Now You Are Here,Sergey Cheremisinov,Which clip sounds MORE like the query overall?,,,
131410:H5,131410,Dear Giulietta,Kraus,Circle Moon,Fursaxa,Which clip sounds MORE like the query overall?,,,
131410:H6,131410,Circle Moon,Fursaxa,Now You Are Here,Sergey Cheremisinov,Which clip sounds MORE like the query overall?,,,
131410:H7,131410,R.A.H.M.A.V.N. [221],SULCUS,Dreamstalker,Squire Tuck,Which clip sounds MORE like the query overall?,,,
131410:H8,131410,Dreamstalker,Squire Tuck,® o c k e t s,Shy Kids,Which clip sounds MORE like the query overall?,,,
134823:H1,134823,Idle Hands,The Impossebulls,One Hundred 10 (BPM) (Instrumental),The Impossebulls,Which clip sounds MORE like the query overall?,,,
134823:H2,134823,Idle Hands,The Impossebulls,True Form,Comfort Fit,Which clip sounds MORE like the query overall?,,,
134823:H3,134823,Idle Hands,The Impossebulls,Master Plan (Dark Days Instrumental),Mported Flows,Which clip sounds MORE like the query overall?,,,
134823:H4,134823,True Form,Comfort Fit,One Hundred 10 (BPM) (Instrumental),The Impossebulls,Which clip sounds MORE like the query overall?,,,
134823:H5,134823,Master Plan (Dark Days Instrumental),Mported Flows,One Hundred 10 (BPM) (Instrumental),The Impossebulls,Which clip sounds MORE like the query overall?,,,
134823:H6,134823,Master Plan (Dark Days Instrumental),Mported Flows,True Form,Comfort Fit,Which clip sounds MORE like the query overall?,,,
134823:H7,134823,What Kinda Instrumental     {Both Nice},6th Sense,Dey Get Down (Remixx Instrumental),BADLUCK,Which clip sounds MORE like the query overall?,,,
134823:H8,134823,One Hundred 10 (BPM) (Instrumental),The Impossebulls,What Kinda Instrumental     {Both Nice},6th Sense,Which clip sounds MORE like the query overall?,,,
134930:H1,134930,-Yesilim,"Turku, Nomads of the Silk Road",-Aman Avci Vurma Mani,"Turku, Nomads of the Silk Road",Which clip sounds MORE like the query overall?,,,
134930:H2,134930,-Antalyanin Mor Uzumu,"Turku, Nomads of the Silk Road",-Aman Avci Vurma Mani,"Turku, Nomads of the Silk Road",Which clip sounds MORE like the query overall?,,,
134930:H3,134930,-Antalyanin Mor Uzumu,"Turku, Nomads of the Silk Road",-Yesilim,"Turku, Nomads of the Silk Road",Which clip sounds MORE like the query overall?,,,
134930:H4,134930,-Anadolu Kavagi,"Turku, Nomads of the Silk Road",-Aman Avci Vurma Mani,"Turku, Nomads of the Silk Road",Which clip sounds MORE like the query overall?,,,
134930:H5,134930,-Rampi Rampi,"Turku, Nomads of the Silk Road",-Yesilim,"Turku, Nomads of the Silk Road",Which clip sounds MORE like the query overall?,,,
134930:H6,134930,Paradise,Sondra Sun-Odeon,-Aman Avci Vurma Mani,"Turku, Nomads of the Silk Road",Which clip sounds MORE like the query overall?,,,
143098:H1,143098,Living In A Dream,Twin Guns,New Brigade,Ice Age,Which clip sounds MORE like the query overall?,,,
143098:H2,143098,New Brigade,Ice Age,Here They Come,The Degs,Which clip sounds MORE like the query overall?,,,
143098:H3,143098,Living In A Dream,Twin Guns,Here They Come,The Degs,Which clip sounds MORE like the query overall?,,,
143098:H4,143098,Maniac,Twin Guns,Maidenhead,Protomartyr,Which clip sounds MORE like the query overall?,,,
143098:H5,143098,Toad Listen,pHoaming Edison,Maidenhead,Protomartyr,Which clip sounds MORE like the query overall?,,,
143098:H6,143098,Route 13,Pitchman,Toad Listen,pHoaming Edison,Which clip sounds MORE like the query overall?,,,
143098:H7,143098,The Stasis,Blue Dot Sessions,New Brigade,Ice Age,Which clip sounds MORE like the query overall?,,,
149712:H1,149712,Walrus,Ergo Phizmiz,11 Master Of Pizza,NanowaR,Which clip sounds MORE like the query overall?,,,
149712:H2,149712,Sweet Girl,Rakiya,11 Master Of Pizza,NanowaR,Which clip sounds MORE like the query overall?,,,
149712:H3,149712,Dia Inteiro,Zé Trigueiros,11 Master Of Pizza,NanowaR,Which clip sounds MORE like the query overall?,,,
149712:H4,149712,Walrus,Ergo Phizmiz,Sweet Girl,Rakiya,Which clip sounds MORE like the query overall?,,,
149712:H5,149712,Walrus,Ergo Phizmiz,Dia Inteiro,Zé Trigueiros,Which clip sounds MORE like the query overall?,,,
149712:H6,149712,Dia Inteiro,Zé Trigueiros,Sweet Girl,Rakiya,Which clip sounds MORE like the query overall?,,,
149712:H7,149712,Walking in the Boots of Old Cowboys,Squire Tuck,No Pilot,Eidetic Seeing,Which clip sounds MORE like the query overall?,,,
149712:H8,149712,Walking in the Boots of Old Cowboys,Squire Tuck,Walrus,Ergo Phizmiz,Which clip sounds MORE like the query overall?,,,
