ab_id,question,a_title,a_artist,b_title,b_artist,choice
142094:melody:1,Which clip is MORE similar to the query specifically in MELODY?,The Ziggurat,Jan Morgenstern,Hots For Brooklyn Instrumental,Ryan Cullinane,
142094:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Farmhouse loaf,TRG Banks,Owl Eyes,The Pop Winds,
142094:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Seagull,The Golden Dawn,Angel's Fall (Instrumental),Archétypo 120,
142094:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Bending Light,krackatoa,She,Gardenella,
142094:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Dudes On A Roof,Cory Gray,Purple Sunshine,Gingerlys,
142094:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Those Summer Days,Microscopes,The Ziggurat,Jan Morgenstern,
142094:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Hummingbird,Debby Schwartz,Owl Eyes,The Pop Winds,
142094:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Angel's Fall (Instrumental),Archétypo 120,"Danzad, Danzad, Malditos",Bit Laden,
142094:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,She,Gardenella,Tropik,Elvin Brandhi,
142094:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Purple Sunshine,Gingerlys,Cumbia Masonica,Ø+yn + GMC,
142094:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,The Ziggurat,Jan Morgenstern,Bizarre Waltz,David Szesztay,
142094:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Play (Intro),2NRO8OT,Owl Eyes,The Pop Winds,
142094:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Angel's Fall (Instrumental),Archétypo 120,Death on the battlefield,Rolemusic,
142094:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,She,Gardenella,Chibi Ninja,Eric Skiff,
142094:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Swinging in the 7th,Dana Boulé,Purple Sunshine,Gingerlys,
14601:melody:2,Which clip is MORE similar to the query specifically in MELODY?,[conclusion],Huun Huur Tu,[interview],Huun Huur Tu,
14601:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Interview,The Sounds of Taraab,(chat w/ Rob Weisberg),Cordero,
14601:melody:4,Which clip is MORE similar to the query specifically in MELODY?,(chat w/ Rob Weisberg),Cordero,[interview],Huun Huur Tu,
14601:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Interview,The Sounds of Taraab,Song From South Of Iran,Sound: The Encounter,
14601:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,(chat w/ Rob Weisberg),Cordero,[interview],Huun Huur Tu,
14601:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Interview,The Sounds of Taraab,[conclusion],Huun Huur Tu,
14601:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,(chat w/ Rob Weisberg),Cordero,My Head Of Curls,Samuel Vas Y,
14601:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,[interview],Huun Huur Tu,Interview with Marty McSorley,Clipping,
14601:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Interview,The Sounds of Taraab,Cultures All In Harmony,Hectic Head,
14601:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,[conclusion],Huun Huur Tu,Acapella,6th Sense,
14601:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Interview,The Sounds of Taraab,(chat w/ Rob Weisberg),Cordero,
14601:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,(introduction),Mamak Khadem,[interview],Huun Huur Tu,
14601:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Interview Segment 1,Cracked Latin,Interview,The Sounds of Taraab,
56695:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Beta Stability,Tony Dubshot,Met Some New Colors,The Pop Winds,
56695:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Black Radiations,Quaro,One Hundred 10 (BPM) (Instrumental),The Impossebulls,
56695:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Volume (Original Demo Instrumental),The Impossebulls,All To Order,Zachary Cale,
56695:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Ugh! Humans Can Join,Mystery Mammal,There is a tower on that hill (Greece),Dub Riots,
56695:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Trod Along (vocals: Preecha Kungo),Corty,Today,Kellee Maize,
56695:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Beta Stability,Tony Dubshot,Interview,The Sounds of Taraab,
56695:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Black Radiations,Quaro,Mirror,Robin Mitchell,
56695:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Volume (Original Demo Instrumental),The Impossebulls,no title,Yan Yalego,
56695:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Ugh! Humans Can Join,Mystery Mammal,[conclusion],Huun Huur Tu,
56695:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,(interview),Brahim Fribgane,Trod Along (vocals: Preecha Kungo),Corty,
56695:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Wack,Bob Ostertag,Beta Stability,Tony Dubshot,
56695:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Black Radiations,Quaro,A Bit of Electro,4T Thieves,
56695:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Volume (Original Demo Instrumental),The Impossebulls,Restless,Just Plain Ant,
56695:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Likin,Blue Dot Sessions,Ugh! Humans Can Join,Mystery Mammal,
56695:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Trod Along (vocals: Preecha Kungo),Corty,Green Deli,Foolk,
113280:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Ode To A Baby Snowstorm,Ghostly Dust Machine,Layman's Banquet,Itasca,
113280:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Vincent - Demo Tape Track 5,Ian Alex Mac,Waina Bibiyo,Abdoulaye Alhassane Touré,
113280:melody:3,Which clip is MORE similar to the query specifically in MELODY?,2.17.05,BOPD,In The Sun,David Szesztay,
113280:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Feel No Stress,Čaj na Ex,Kurbu,Abdoulaye Alhassane Touré,
113280:melody:5,Which clip is MORE similar to the query specifically in MELODY?,The Absurd,Nihilore,Άλλες Ζωές,Dimitris Bakoulis,
113280:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,No Consequence,Itasca,Waina Bibiyo,Abdoulaye Alhassane Touré,
113280:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,In The Sun,David Szesztay,Henfight,Itasca,
113280:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Passing of Friends & Past True Loves,Squire Tuck,Kurbu,Abdoulaye Alhassane Touré,
113280:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,A La Fraîche,Wintermitts,Άλλες Ζωές,Dimitris Bakoulis,
113280:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Last Night,Amy Sayer,Layman's Banquet,Itasca,
113280:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Waina Bibiyo,Abdoulaye Alhassane Touré,Eni Wana Damu,The Sounds of Taraab,
113280:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,In The Sun,David Szesztay,She Moves Through the Fair,Michael Chapman,
113280:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,How many,Windmill,Kurbu,Abdoulaye Alhassane Touré,
113280:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Gringo Flamenco (live),Montana Skies,Άλλες Ζωές,Dimitris Bakoulis,
821:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Sorry,Comfort Fit,UNRAVEL BACKWARDS BUT NOT UPSIDE DOWN,Elvis Herod,
821:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Planet Say (featuring Faust),Food For Animals,Hannahlove,David Mumford,
821:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Kelpies,Poland,Who is Dr. Cube? (Live),Regenerated Headpiece,
821:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Kids Say The Darndest Things,Cassette Tape Bandits,Swingin' Low,Melaena Cadiz,
821:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Varal,Pipo Pegoraro,Suffer,Michael Kelso,
821:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Threads and Veils,Blue Dot Sessions,Sorry,Comfort Fit,
821:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Hannahlove,David Mumford,Lake Baikal,Pianochocolate,
821:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Kelpies,Poland,Hannahlove,David Mumford,
821:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Swingin' Low,Melaena Cadiz,Cock (remastered),Cockmasta Flex,
821:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,What Now?,Punk Rock Opera,Suffer,Michael Kelso,
821:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,deprecie,WatFatMan,Sorry,Comfort Fit,
821:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Hannahlove,David Mumford,"Big, Bad, And Heavy (Intro)",CM & Tha Silent Partner,
821:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Comment - Sulitu in dub,Arrogalla,Kelpies,Poland,
821:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,For You,Cvees,Swingin' Low,Melaena Cadiz,
821:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Suffer,Michael Kelso,Bad Business,The Impossebulls,
47666:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Get Up Out Your Way (Acoustic),Wildlight,High Hopes,Eddi Front,
47666:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Kairo,Salam,Hands In,KASHKA,
47666:melody:3,Which clip is MORE similar to the query specifically in MELODY?,A Promise,Clever Elsa,Stars on the Boulevard,Frozen Houses,
47666:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Talk,Tacocat,Dirty Indie Sound,Yoko Absorbing,
47666:melody:5,Which clip is MORE similar to the query specifically in MELODY?,other side of the wave,epsilon not,Hazy Days,The Jacobins,
47666:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,"Portland Cement Factory at Monolith, CA (John Fahey) & The Harmony of Altamont (John Fahey)",Star Rover,Get Up Out Your Way (Acoustic),Wildlight,
47666:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Hands In,KASHKA,poor economic policies,adcBicycle,
47666:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Stars on the Boulevard,Frozen Houses,Drifting Spade,Blue Dot Sessions,
47666:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Talk,Tacocat,Underwater maze,Morsa,
47666:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Down Down Down - The Holy Innocents,The Holy Innocents,Hazy Days,The Jacobins,
47666:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Get Up Out Your Way (Acoustic),Wildlight,Song in my Heart,John Wort Hannam,
47666:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Hands In,KASHKA,The Best In The World,Derek Clegg,
47666:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Carry On,Derek Clegg,Stars on the Boulevard,Frozen Houses,
47666:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Butterfly Lullaby,Possimiste,Talk,Tacocat,
47666:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Hazy Days,The Jacobins,Morning Light,Mate,
131772:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Three Days (Sunny June Mixx),Maxwell Powers,Make It Funky,Dan Lizard,
131772:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Three Days,Maxwell Powers,Ignored (Album Version),Liam Stewart,
131772:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Trod Along (vocals: Preecha Kungo),Corty,Mountainside,Brock Tyler,
131772:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Ulan Bator,Le Manque,Every Little Thing,Valley Lodge,
131772:melody:5,Which clip is MORE similar to the query specifically in MELODY?,This Is The Night,Microscopes,Minora,Michett,
131772:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Make It Funky,Dan Lizard,Gotta Run,Wahyas,
131772:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Ignored (Album Version),Liam Stewart,2 Blonde Braids,Mount Eerie,
131772:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Mountainside,Brock Tyler,03 The Wedding Ring,Harrius,
131772:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Ulan Bator,Le Manque,Liquid Lavendar Light,Mudang Rouge,
131772:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Neon Hippies,Fields Ohio,This Is The Night,Microscopes,
131772:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Make It Funky,Dan Lizard,Hell Yeah,Tickle,
131772:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Ignored (Album Version),Liam Stewart,X,Phemale,
131772:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Always Alone In The Dark,Frame,Mountainside,Brock Tyler,
131772:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Plastination,Phemale,Ulan Bator,Le Manque,
131772:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,This Is The Night,Microscopes,Do Easy,Tasseomancy,
88959:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Alive,TIGERBERRY,To Ruin,Sleep Out,
88959:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Be what you wanna be,Still Pluto,Hat / Halo,Maxwell Powers,
88959:melody:3,Which clip is MORE similar to the query specifically in MELODY?,The Sound & The Sea,Big Blood,Junk Mail,Shy Kids,
88959:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Milk and Honey,Man Bites Dog,Anywhere Else,springtide,
88959:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Alive,TIGERBERRY,Lullaby,Still Pluto,
88959:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Alive,TIGERBERRY,No Business,Negativland,
88959:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,In Tune,Kellee Maize,Be what you wanna be,Still Pluto,
88959:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Junk Mail,Shy Kids,Milk and Honey,Man Bites Dog,
88959:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Milk and Honey,Man Bites Dog,Sunrise Number 1,Stormy Mondays,
88959:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Barcelona Afrobeat 01,Barcelona Afrobeat International Orchestra,Lullaby,Still Pluto,
88959:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,Alive,TIGERBERRY,It Could Be You,Lorenzo's Music,
88959:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Omaha,Josh Woodward,Be what you wanna be,Still Pluto,
88959:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Alive,TIGERBERRY,Junk Mail,Shy Kids,
88959:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Milk and Honey,Man Bites Dog,Living on the Wind,Andy G. Cohen,
88959:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Lullaby,Still Pluto,Joy to the World,Thicker Than Water,
124186:melody:1,Which clip is MORE similar to the query specifically in MELODY?,BRPLE,XPURM,"Revolution 88 (Parts 1, 2 & 3)",The Impossebulls,
124186:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Working Song,Lame Drivers,Leipzig Im Winter,Ras Amerlock,
124186:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Try To Find Me,Koonda Holaa,Cope - Mikey Whipwreck,Norwegian Blue Records,
124186:melody:4,Which clip is MORE similar to the query specifically in MELODY?,OX,Sros Lords,E.M.F.H.,Raw Stiles,
124186:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Kick Back,Sick of Sarah,Lavender Hip Mob,Lee Rosevere,
124186:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,"Revolution 88 (Parts 1, 2 & 3)",The Impossebulls,T800,Jahzzar,
124186:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Working Song,Lame Drivers,The Professor's Lab,Christian Bjoerklund,
124186:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Floatin' Around,Monday Night Fever,Try To Find Me,Koonda Holaa,
124186:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,OX,Sros Lords,Dreams In Overdrive,PC-ONE,
124186:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Kick Back,Sick of Sarah,Snoday,P C III,
124186:timbre:1,Which clip is MORE similar to the query specifically in TIMBRE?,"Revolution 88 (Parts 1, 2 & 3)",The Impossebulls,Reign of Incontestable Greatness,Is,
124186:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Working Song,Lame Drivers,Saturday Night,Easy Rider,
124186:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,I Do What I Do,The Yolks,Try To Find Me,Koonda Holaa,
124186:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,OX,Sros Lords,Great Serpent,The Vivisectors,
124186:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Kick Back,Sick of Sarah,Hawaii,No Joy,
133272:melody:1,Which clip is MORE similar to the query specifically in MELODY?,Regret,Movie Theater,Feel It,The Pop Winds,
133272:melody:2,Which clip is MORE similar to the query specifically in MELODY?,Feel It,The Pop Winds,Fear,Movie Theater,
133272:melody:3,Which clip is MORE similar to the query specifically in MELODY?,Hundred Years in Helheim,Tri-Tachyon,Night Lighter,Big Blood,
133272:melody:4,Which clip is MORE similar to the query specifically in MELODY?,Birthday Party,Kim & Buran,Goddess of The Crossroads,The Vivisectors,
133272:melody:5,Which clip is MORE similar to the query specifically in MELODY?,Forsaken,Is,Landslide Song/The Dig,Laura Stevenson and the Cans,
133272:rhythm:1,Which clip is MORE similar to the query specifically in RHYTHM?,Happy Halloween,The Vivisectors,Regret,Movie Theater,
133272:rhythm:2,Which clip is MORE similar to the query specifically in RHYTHM?,Fear,Movie Theater,Don't Go Falling In Love,Kurt Baker,
133272:rhythm:3,Which clip is MORE similar to the query specifically in RHYTHM?,Dzhankoye,Vanya Zhuk,Hundred Years in Helheim,Tri-Tachyon,
133272:rhythm:4,Which clip is MORE similar to the query specifically in RHYTHM?,Goddess of The Crossroads,The Vivisectors,Ghostly Island,The Vivisectors,
133272:rhythm:5,Which clip is MORE similar to the query specifically in RHYTHM?,Forsaken,Is,Sky Guide,Cloudkicker,
133272:timbre:2,Which clip is MORE similar to the query specifically in TIMBRE?,Fear,Movie Theater,Infinu,Boogarins,
133272:timbre:3,Which clip is MORE similar to the query specifically in TIMBRE?,Hundred Years in Helheim,Tri-Tachyon,Piscoid,Andy G. Cohen,
133272:timbre:4,Which clip is MORE similar to the query specifically in TIMBRE?,Shake Some Action,The Flamin' Groovies,Goddess of The Crossroads,The Vivisectors,
133272:timbre:5,Which clip is MORE similar to the query specifically in TIMBRE?,Forsaken,Is,Lewy,Botinki Ra,
